No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length,Type
1,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,66,N
2,2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60,N
3,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
4,2017-01-19 18:09:44,49286,80,10.1.19.102,192.185.225.245,HTTP,540,N
5,2017-01-19 18:09:44,80,49286,192.185.225.245,10.1.19.102,TCP,60,N
6,2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,589,N
7,2017-01-19 18:09:46,80,49286,192.185.225.245,10.1.19.102,TCP,306,N
8,2017-01-19 18:09:46,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
9,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,66,N
10,2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60,N
11,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
12,2017-01-19 18:09:46,49287,80,10.1.19.102,92.53.119.137,HTTP,801,N
13,2017-01-19 18:09:46,80,49287,92.53.119.137,10.1.19.102,TCP,60,N
14,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
15,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,HTTP,629,N
16,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
17,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,HTTP,854,N
18,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,60,N
19,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
20,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
21,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1157,N
22,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
23,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
24,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
25,2017-01-19 18:09:47,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
26,2017-01-19 18:09:47,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
27,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
28,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
29,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
30,2017-01-19 18:09:48,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
31,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
32,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
33,2017-01-19 18:09:48,80,49287,92.53.119.137,10.1.19.102,TCP,252,N
34,2017-01-19 18:09:48,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
35,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514,N
36,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1276,N
37,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514,N
38,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1276,N
39,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1309,N
40,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395,N
41,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395,N
42,2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
43,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514,N
44,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514,N
45,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1157,N
46,2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
47,2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
48,2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
49,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1395,N
50,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,TCP,1514,N
51,2017-01-19 18:09:48,80,49286,192.185.225.245,10.1.19.102,HTTP,494,N
52,2017-01-19 18:09:48,49286,80,10.1.19.102,192.185.225.245,TCP,60,N
53,2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,TCP,66,N
54,2017-01-19 18:09:49,49287,80,10.1.19.102,92.53.119.137,HTTP,764,N
55,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,60,N
56,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,66,N
57,2017-01-19 18:09:49,80,49288,92.53.119.137,10.1.19.102,TCP,60,N
58,2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,TCP,60,N
59,2017-01-19 18:09:49,49288,80,10.1.19.102,92.53.119.137,HTTP,529,N
60,2017-01-19 18:09:49,80,49288,92.53.119.137,10.1.19.102,TCP,60,N
61,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60,N
62,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
63,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,HTTP,801,N
64,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60,N
65,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,1514,N
66,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,HTTP,624,N
67,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
68,2017-01-19 18:09:49,49297,80,10.1.19.102,92.53.119.137,HTTP,849,N
69,2017-01-19 18:09:49,80,49297,92.53.119.137,10.1.19.102,TCP,60,N
70,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
71,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
72,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
73,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
74,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
75,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
76,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
77,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
78,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
79,2017-01-19 18:09:49,80,49287,92.53.119.137,10.1.19.102,TCP,284,N
80,2017-01-19 18:09:49,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
81,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
82,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
83,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
84,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
85,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
86,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
87,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
88,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
89,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
90,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
91,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
92,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
93,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
94,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
95,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1276,N
96,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1395,N
97,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
98,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
99,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
100,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1157,N
101,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
102,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,TCP,1514,N
103,2017-01-19 18:09:50,80,49287,92.53.119.137,10.1.19.102,HTTP,528,N
104,2017-01-19 18:09:50,49287,80,10.1.19.102,92.53.119.137,TCP,60,N
105,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
106,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
107,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
108,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
109,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
110,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
111,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514,N
112,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276,N
113,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
114,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514,N
115,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1276,N
116,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
117,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,284,N
118,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
119,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
120,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
121,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1395,N
122,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
123,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514,N
124,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,TCP,1514,N
125,2017-01-19 18:09:50,80,49297,92.53.119.137,10.1.19.102,HTTP,212,N
126,2017-01-19 18:09:50,49297,80,10.1.19.102,92.53.119.137,TCP,60,N
127,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514,N
128,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276,N
129,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60,N
